study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_platform	library_source	fastq_ftp	submitted_ftp	sample_alias	first_created
PRJEB12982	SAMEA3892066	ERS1079200	ERX1512991	ERR1442614	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442614/ERR1442614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442614/ERR1442614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442614/19850_1#54.cram	73787ba0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892067	ERS1079201	ERX1512992	ERR1442615	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442615/ERR1442615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442615/ERR1442615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442615/19850_1#55.cram	73843b70-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892069	ERS1079203	ERX1512993	ERR1442616	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442616/ERR1442616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442616/ERR1442616_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442616/19850_1#56.cram	73902250-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892070	ERS1079204	ERX1512994	ERR1442617	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442617/ERR1442617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442617/ERR1442617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442617/19850_1#57.cram	73a7a1f0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892071	ERS1079205	ERX1512995	ERR1442618	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442618/ERR1442618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442618/ERR1442618_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442618/19850_1#58.cram	73b361c0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892072	ERS1079206	ERX1512996	ERR1442619	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442619/ERR1442619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442619/ERR1442619_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442619/19850_1#59.cram	73bf48a0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892073	ERS1079207	ERX1512997	ERR1442620	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442620/ERR1442620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442620/ERR1442620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442620/19850_1#60.cram	73cb0870-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892075	ERS1079209	ERX1512998	ERR1442621	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442621/ERR1442621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442621/ERR1442621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442621/19850_1#61.cram	73d6c840-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892076	ERS1079210	ERX1512999	ERR1442622	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442622/ERR1442622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442622/ERR1442622_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442622/19850_1#62.cram	73e26100-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892077	ERS1079211	ERX1513000	ERR1442623	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442623/ERR1442623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442623/ERR1442623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442623/19850_1#63.cram	73ee20d0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892078	ERS1079212	ERX1513001	ERR1442624	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442624/ERR1442624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442624/ERR1442624_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442624/19850_1#64.cram	73fa07b0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892079	ERS1079213	ERX1513002	ERR1442625	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442625/ERR1442625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442625/ERR1442625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442625/19850_1#65.cram	7405c780-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892081	ERS1079215	ERX1513003	ERR1442626	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442626/ERR1442626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442626/ERR1442626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442626/19850_1#66.cram	74118750-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892082	ERS1079216	ERX1513004	ERR1442627	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442627/ERR1442627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442627/ERR1442627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442627/19850_1#67.cram	741d9540-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892083	ERS1079217	ERX1513005	ERR1442628	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442628/ERR1442628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442628/ERR1442628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442628/19850_1#68.cram	74295510-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892084	ERS1079218	ERX1513006	ERR1442629	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442629/ERR1442629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442629/ERR1442629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442629/19850_1#69.cram	74358a10-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892085	ERS1079219	ERX1513007	ERR1442630	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442630/ERR1442630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442630/ERR1442630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442630/19850_1#70.cram	744149e0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892087	ERS1079221	ERX1513008	ERR1442631	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442631/ERR1442631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442631/ERR1442631_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442631/19850_1#71.cram	744d30c0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892088	ERS1079222	ERX1513009	ERR1442632	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442632/ERR1442632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442632/ERR1442632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442632/19850_1#72.cram	74593eb0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892089	ERS1079223	ERX1513010	ERR1442633	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442633/ERR1442633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442633/ERR1442633_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442633/19850_1#73.cram	74652590-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892090	ERS1079224	ERX1513011	ERR1442634	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442634/ERR1442634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442634/ERR1442634_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442634/19850_1#74.cram	7470e560-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892091	ERS1079225	ERX1513012	ERR1442635	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442635/ERR1442635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442635/ERR1442635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442635/19850_1#75.cram	747ca530-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892093	ERS1079227	ERX1513013	ERR1442636	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442636/ERR1442636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442636/ERR1442636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442636/19850_1#76.cram	74888c10-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892094	ERS1079228	ERX1513014	ERR1442637	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442637/ERR1442637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442637/ERR1442637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442637/19850_1#77.cram	74944be0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892095	ERS1079229	ERX1513015	ERR1442638	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442638/ERR1442638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442638/ERR1442638_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442638/19850_1#78.cram	74a032c0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892096	ERS1079230	ERX1513016	ERR1442639	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442639/ERR1442639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442639/ERR1442639_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442639/19850_1#79.cram	74ac19a0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892097	ERS1079231	ERX1513017	ERR1442640	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442640/ERR1442640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442640/ERR1442640_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442640/19850_1#80.cram	74b7d970-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892099	ERS1079233	ERX1513018	ERR1442641	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442641/ERR1442641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442641/ERR1442641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442641/19850_1#81.cram	74c3c050-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892100	ERS1079234	ERX1513019	ERR1442642	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442642/ERR1442642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442642/ERR1442642_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442642/19850_1#82.cram	74cff550-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892101	ERS1079235	ERX1513020	ERR1442643	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442643/ERR1442643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442643/ERR1442643_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442643/19850_1#83.cram	74dc0340-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892102	ERS1079236	ERX1513021	ERR1442644	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442644/ERR1442644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442644/ERR1442644_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442644/19850_1#84.cram	74ebe1c0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892104	ERS1079238	ERX1513022	ERR1442645	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442645/ERR1442645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442645/ERR1442645_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442645/19850_1#85.cram	74f7efb0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892105	ERS1079239	ERX1513023	ERR1442646	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442646/ERR1442646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442646/ERR1442646_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442646/19850_1#86.cram	7503af80-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892106	ERS1079240	ERX1513024	ERR1442647	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442647/ERR1442647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442647/ERR1442647_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442647/19850_1#87.cram	750f4840-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892107	ERS1079241	ERX1513025	ERR1442648	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442648/ERR1442648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442648/ERR1442648_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442648/19850_1#88.cram	751b0810-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892109	ERS1079243	ERX1513026	ERR1442649	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442649/ERR1442649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442649/ERR1442649_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442649/19850_1#89.cram	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892110	ERS1079244	ERX1513027	ERR1442650	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442650/ERR1442650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442650/ERR1442650_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442650/19850_1#90.cram	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892004	ERS1079138	ERX1513028	ERR1442651	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442651/ERR1442651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442651/ERR1442651_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442651/19850_2#1.cram	70f86070-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892005	ERS1079139	ERX1513029	ERR1442652	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442652/ERR1442652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442652/ERR1442652_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442652/19850_2#2.cram	7107f0d0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892006	ERS1079140	ERX1513030	ERR1442653	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442653/ERR1442653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442653/ERR1442653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442653/19850_2#3.cram	7113fec0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892007	ERS1079141	ERX1513031	ERR1442654	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442654/ERR1442654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442654/ERR1442654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442654/19850_2#4.cram	71200cb0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892008	ERS1079142	ERX1513032	ERR1442655	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442655/ERR1442655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442655/ERR1442655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442655/19850_2#5.cram	712bf390-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892009	ERS1079143	ERX1513033	ERR1442656	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442656/ERR1442656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442656/ERR1442656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442656/19850_2#6.cram	7137da70-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892010	ERS1079144	ERX1513034	ERR1442657	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442657/ERR1442657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442657/ERR1442657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442657/19850_2#7.cram	7143c150-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892011	ERS1079145	ERX1513035	ERR1442658	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442658/ERR1442658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442658/ERR1442658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442658/19850_2#8.cram	714fa830-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892012	ERS1079146	ERX1513036	ERR1442659	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442659/ERR1442659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442659/ERR1442659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442659/19850_2#9.cram	715bdd30-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892013	ERS1079147	ERX1513037	ERR1442660	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442660/ERR1442660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442660/ERR1442660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442660/19850_2#10.cram	7167eb20-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892014	ERS1079148	ERX1513038	ERR1442661	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442661/ERR1442661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442661/ERR1442661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442661/19850_2#11.cram	7173d200-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892015	ERS1079149	ERX1513039	ERR1442662	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442662/ERR1442662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442662/ERR1442662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442662/19850_2#12.cram	717fb8e0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892016	ERS1079150	ERX1513040	ERR1442663	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442663/ERR1442663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442663/ERR1442663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442663/19850_2#13.cram	718b78b0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892017	ERS1079151	ERX1513041	ERR1442664	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442664/ERR1442664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442664/ERR1442664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442664/19850_2#14.cram	719786a0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892018	ERS1079152	ERX1513042	ERR1442665	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442665/ERR1442665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442665/ERR1442665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442665/19850_2#15.cram	71a39490-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892019	ERS1079153	ERX1513043	ERR1442666	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442666/ERR1442666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442666/ERR1442666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442666/19850_2#16.cram	71afa280-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892020	ERS1079154	ERX1513044	ERR1442667	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442667/ERR1442667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442667/ERR1442667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442667/19850_2#17.cram	71bbd780-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
